id  name  price  unit
10  감자  700  개
11  감자전분  6  g
14  건고추  30  g
15  건새우  30  g
19  계란  500  개
20  고구마  1000  개
25  고추기름  500  큰술
27  고추장  200  큰술
28  고춧가루  90  작은술
31  국간장  100  큰술
35  굴소스  180  큰술
39  김  200  장
40  김가루  200  큰술
41  김치  15  g
50  꽈리고추  15  g
58  느타리버섯  25  g
59  다시다  50  작은술
60  다시마  20  g
62  다진돼지고기  15  g
63  다진마늘  210  큰술
70  닭가슴살  10  g
74  닭다리살  12  g
76  당면  8  g
75  당근  800  개
76  당면  8  g
78  대파  400  대
82  돈까스소스  100  큰술
87  돼지 뒷다리  10  g
92  돼지 앞다리살  13  g
95  된장  180  큰술
98  두부  2000  모
106  떡  5  g
108  떡볶이떡  6  g
110  라면  1000  개
115  마늘  100  개
119  마요네즈  120  큰술
120  만두  300  개
123  맛소금  100  작은술
124  맛술  90  큰술
137  멸치  20  g
138  멸치액젓  90  큰술
142  모짜렐라치즈  25  g
144  무  2500  개
149  물엿  80  큰술
151  미림  300  큰술
153  미역  30  g
155  미원  50  작은술
157  밀가루  2  g
161  바지락  10  g
172  백미  4  g
186  부침가루  3  g
187  북어채  50  g
194  비빔면  1100  개
206  새송이버섯  8  g
208  새우젓  200  큰술
217  설탕  40  큰술
227  소금  40  큰술
229  소면  5  g
230  소세지  18  g
233  숙주  4  g
235  순두부  5  g
241  슬라이스치즈  200  장
246  식빵  480  장
247  식용유  6  ml
248  식초  30  큰술
252  쌈장  150  큰술
261  알배추  2000  개
263  애호박  1500  개
265  양배추  4000  개
269  양파  800  개
272  어묵  10  g
286  오이  800  개
288  오징어  4000  마리
293  올리고당  90  큰술
299  우동면  8  g
321  즉석밥  1300  개
322  진간장  100  큰술
324  짜장라면  1200  개
325  짜장분말  250  큰술
331  참기름  380  큰술
335  참치액젓  150  큰술
343  청양고추  250  개
345  체다치즈  30  g
353  치킨스톡  150  작은술
356  카레분말  200  큰술
357  칵테일새우  30  g
360  케찹  110  큰술
362  코인 육수  300  개
366  콩나물  3  g
367  크래미  15  g
374  토마토소스  10  ml
375  통깨  200  큰술
376  통조림옥수수  5  g
377  통조림참치  25  g
378  통조림햄  20  g
380  튀김가루  3  g
383  파스타면  4  g
390  팽이버섯  7  g
391  페페론치노  100 작은술
395  풋고추  300  개
404  햄  20  g
416  후추  240  작은술
418  휘핑크림  10  ml
423  갈릭디핑소스  15  g
502  로제파스타소스  12  g
